Author,Odds_Ratio,CI_1,CI_2
Ward Ashley(a),1.03,1.03,1.03
Ward Ashley(b),1.02,1.02,1.03
Ward Ashley(c),1.01,1,1.01
Zheng  Xiangrong,2.57,1.98,3.33
