Author,Odds_Ratio,CI_1,CI_2
"Vasileiou, Vasiliki",1.65,1.43,1.9
Molina-Vega Maria,1.783,1.34,2.371
Qian Nianfeng,1.3,1.04,1.62
Katsarou Anastesia,1.51,1.24,1.83
